Country,Infrastructure investment
Nigeria,21.81
Turkey,19.78
Saudi Arabia,17.55
Egypt,14.51
Ethiopia,14.33
South Africa,10.52
Angola,8.83
Morocco,7.03
Tanzania,6.45
Kenya,5.8
Azerbaijan,3.14
Ghana,2.34
Jordan,2.09
Côte d'Ivoire,2.09
Senegal,1.88
Tunisia,1.78
Rwanda,0.96
Benin,0.68
Guinea,0.57
