Country,Infrastructure investment
France,66.37
United Kingdom,58.99
Germany,55.46
Italy,47.21
Spain,39.32
Russia,39.23
Poland,19.23
Romania,8.12
Croatia,2.26
United States,309.1
Canada,42.4
