Programa/Finalidade;Fundo de Financiamento ao Estudante de Ensino Superior - FIES;Fundo de Compensação das Variações Salariais - FCVS;Programa de Financiamento às Exportações - PROEX;Programa de Estímulo à Reestruturação e ao Fortalecimento das Instituições de Ensino Superior - PROIES;Concessão de Crédito - CAIXA ;Concessão de Crédito - Banco da Amazônia S/A - BASA;Concessão de Credito - BB ;Concessão de Credito - BNDES ;Concessão de Crédito - BNB ;Concessão de Crédito - Conta de Desenvolvimento Energético - CDE;Subscrição de ações da Petróleo Brasileiro S.A. - PETROBRÁS;Assunção de Dívida do ex- Território de Roraima - Credor CAIXA;Dívida Agrícola - Equalização Equivalência-Produto - Credor Banco do Brasil;Fundo Soberando do Brasil - FSB;Cobertura de Resultado Negativo do Banco Central;Carteira de Títulos do Banco Central;Outras Emissões Diretas;Assunção de Dívida da extinta RFFSA - Credora REFER;Emissão para o Fundo ID-ETF IMA-B;Programa de Reforma Agrária
Instrumento Legal;Lei nº 10.260/01;Lei nº 10.150/00;Lei nº 10.184/01;Lei nº 12.688/12 ;Legislacões  Especificas;Lei nº 12712/12;Legislacoes  Especificas;Legislações  Especificas;Lei nº 12.249/10;Lei nº 12.865/13;Lei nº 12.276/10;art. 14 do ADCT de 05/10/1988;Lei nº 9.138/95;Lei nº 11.887/08;Lei nº 11.803/08;Lei nº 10.179/01;Legislações  Especificas;Lei nº 11.483; de 31.05.2007;Lei nº 10.179/01;Decreto nº 578/92 e Lei nº 8.629/93
Títulos Emitidos;CFT-E;CVS;NTN-I;CFT-B;LTN/NTN-B;LTN;LTN/NTN-F;LTN/LFT/NTN-F/NTN-B;NTN-B;LTN/NTN-F;LFT;LTN/NTN-F/NTN-B;NTN-F/NTN-B;LTN/LFT/NTN-F/NTN-B;LTN/LFT/NTN-F/NTN-B; LTN/LFT /NTN-B;DIVERSOS;;NTN-B;TDA
set/08;54.352,58;46.737,08;24.879,62;   -     ;   -     ;   -     ;   -     ;4.999.999,81;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;169.829,55;   -     ;   -     ;17.253,07
out/08;75.343,33;129.869,27;41.802,43;   -     ;   -     ;   -     ;   -     ;4.999.999,98;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;58.097,86
nov/08;52.790,41;513.267,45;24.378,96;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;8.467,84;   -     ;   -     ;127.087,32
dez/08;34.708,13;1.521.945,80;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;14.243.999,59;47.574.116,86;   -     ;3.997,92;   -     ;   -     ;31.239,79
jan/09;51.270,34;237.420,17;83.200,58;   -     ;   -     ;   -     ;   -     ;4.999.999,24;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;105,89;   -     ;   -     ;72,96
fev/09;78.042,83;5.839,05;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;980,88;   -     ;   -     ;4,93
mar/09;40.213,35;417,07;35.650,14;   -     ;   -     ;   -     ;   -     ;12.999.999,46;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;302.521,20
abr/09;74.867,63;2.982,34;53.374,31;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;500,21;   -     ;   -     ;689,38
mai/09;91.463,00;177.105,47;26.077,40;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;259,41
jun/09;71.590,20;100.366,15;29.208,06;   -     ;   -     ;   -     ;   -     ;25.999.739,35;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;   -     ;85.173,35
